symbol,entry_time,entry_price,exit_time,exit_price,raw_return_pct,net_return_pct,resolved,bars_held,days_held,signal_volume_ratio
ATOMUSDT,2022-11-13 11:00:00+00:00,10.395,2023-01-09 07:00:00+00:00,11.4345,10.0,9.8,True,1364,56.83,2.549
TRXUSDT,2022-11-13 12:00:00+00:00,0.05245,2023-01-12 11:00:00+00:00,0.05605,6.864,6.664,False,1439,59.96,2.998
ATOMUSDT,2022-11-13 14:00:00+00:00,10.602,2023-01-11 23:00:00+00:00,11.662200000000002,10.0,9.8,True,1425,59.38,2.695
BCHUSDT,2022-11-13 14:00:00+00:00,100.8,2022-11-23 02:00:00+00:00,110.88000000000001,10.0,9.8,True,228,9.5,3.148
SANDUSDT,2022-11-13 14:00:00+00:00,0.6127,2022-11-13 15:00:00+00:00,0.6739700000000001,10.0,9.8,True,1,0.04,7.727
ENJUSDT,2022-11-13 14:00:00+00:00,0.3208,2022-12-03 03:00:00+00:00,0.35288,10.0,9.8,True,469,19.54,5.454
MANAUSDT,2022-11-13 14:00:00+00:00,0.4608,2023-01-12 13:00:00+00:00,0.404,-12.326,-12.526,False,1439,59.96,7.609
ETCUSDT,2022-11-13 14:00:00+00:00,20.16,2023-01-12 13:00:00+00:00,20.53,1.835,1.635,False,1439,59.96,2.519
ENJUSDT,2022-11-13 16:00:00+00:00,0.3193,2022-12-03 03:00:00+00:00,0.35123,10.0,9.8,True,467,19.46,2.655
ATOMUSDT,2022-11-13 16:00:00+00:00,10.617,2023-01-11 23:00:00+00:00,11.678700000000003,10.0,9.8,True,1423,59.29,2.749
ENJUSDT,2022-11-13 20:00:00+00:00,0.3228,2022-12-03 03:00:00+00:00,0.35508,10.0,9.8,True,463,19.29,6.034
OPUSDT,2022-11-13 22:00:00+00:00,0.878,2022-11-14 08:00:00+00:00,0.9658000000000001,10.0,9.8,True,10,0.42,3.898
XLMUSDT,2022-11-14 01:00:00+00:00,0.0877,2023-01-13 00:00:00+00:00,0.081,-7.64,-7.84,False,1439,59.96,3.846
