symbol,entry_time,entry_price,max_high,max_rise_pct,days_to_max,reached_5pct,reached_7pct,reached_10pct
BTCUSDT,2023-05-01 16:00:00+00:00,28170.64,31431.94,11.577,53.0,True,True,True
BNBUSDT,2023-05-02 15:00:00+00:00,325.0,329.1,1.262,3.08,False,False,False
SOLUSDT,2023-05-03 19:00:00+00:00,21.59,23.23,7.596,2.21,True,True,False
BTCUSDT,2023-05-08 01:00:00+00:00,28572.17,31500.0,10.247,59.33,True,True,True
XRPUSDT,2023-05-08 01:00:00+00:00,0.4508,0.5658,25.51,36.42,True,True,True
XRPUSDT,2023-05-08 03:00:00+00:00,0.4395,0.5658,28.737,36.33,True,True,True
ETHUSDT,2023-05-08 19:00:00+00:00,1830.73,1976.16,7.944,55.83,True,True,False
BTCUSDT,2023-05-08 19:00:00+00:00,27475.26,31500.0,14.649,58.58,True,True,True
SOLUSDT,2023-05-08 19:00:00+00:00,20.47,22.3,8.94,27.04,True,True,False
XRPUSDT,2023-05-08 19:00:00+00:00,0.4195,0.5658,34.875,35.67,True,True,True
ETHUSDT,2023-05-10 13:00:00+00:00,1877.1,1976.16,5.277,54.08,True,False,False
SOLUSDT,2023-05-11 15:00:00+00:00,20.1,22.5,11.94,57.71,True,True,True
SOLUSDT,2023-05-11 18:00:00+00:00,19.99,22.5,12.556,57.58,True,True,True
ETHUSDT,2023-05-11 18:00:00+00:00,1782.92,1976.16,10.838,52.88,True,True,True
BNBUSDT,2023-05-12 06:00:00+00:00,302.3,317.3,4.962,17.21,False,False,False
BTCUSDT,2023-05-12 20:00:00+00:00,26459.63,31500.0,19.049,54.54,True,True,True
SOLUSDT,2023-05-14 02:00:00+00:00,20.72,22.8,10.039,59.42,True,True,True
SOLUSDT,2023-05-15 02:00:00+00:00,21.12,32.13,52.131,59.92,True,True,True
SOLUSDT,2023-05-16 22:00:00+00:00,20.71,32.13,55.142,58.08,True,True,True
XRPUSDT,2023-05-21 18:00:00+00:00,0.4577,0.938,104.938,53.0,True,True,True
BTCUSDT,2023-05-21 22:00:00+00:00,26745.15,31804.2,18.916,52.88,True,True,True
BNBUSDT,2023-05-22 01:00:00+00:00,305.9,317.3,3.727,7.42,False,False,False
SOLUSDT,2023-05-23 02:00:00+00:00,19.8,32.13,62.273,51.92,True,True,True
SOLUSDT,2023-05-23 04:00:00+00:00,20.04,32.13,60.329,51.83,True,True,True
BTCUSDT,2023-05-24 16:00:00+00:00,26314.69,31804.2,20.861,50.12,True,True,True
ETHUSDT,2023-05-25 13:00:00+00:00,1801.81,2029.11,12.615,49.5,True,True,True
BNBUSDT,2023-05-26 07:00:00+00:00,306.0,317.3,3.693,3.17,False,False,False
ETHUSDT,2023-06-05 17:00:00+00:00,1813.24,2029.11,11.905,38.33,True,True,True
SOLUSDT,2023-06-05 17:00:00+00:00,20.02,32.13,60.49,38.29,True,True,True
BNBUSDT,2023-06-05 17:00:00+00:00,280.2,285.8,1.999,1.08,False,False,False
XRPUSDT,2023-06-05 17:00:00+00:00,0.5047,0.938,85.853,38.04,True,True,True
SOLUSDT,2023-06-06 14:00:00+00:00,19.75,32.13,62.684,37.42,True,True,True
BNBUSDT,2023-06-07 11:00:00+00:00,272.6,276.1,1.284,0.0,False,False,False
BNBUSDT,2023-06-07 16:00:00+00:00,259.0,267.5,3.282,0.83,False,False,False
SOLUSDT,2023-06-07 18:00:00+00:00,19.07,32.13,68.485,36.25,True,True,True
BNBUSDT,2023-06-10 06:00:00+00:00,238.5,261.7,9.727,33.92,True,True,False
BTCUSDT,2023-06-10 07:00:00+00:00,25538.81,31804.2,24.533,33.5,True,True,True
ETHUSDT,2023-06-10 09:00:00+00:00,1740.25,2029.11,16.599,33.67,True,True,True
ETHUSDT,2023-06-10 18:00:00+00:00,1760.16,2029.11,15.28,33.29,True,True,True
BTCUSDT,2023-06-10 18:00:00+00:00,26022.34,31804.2,22.219,33.04,True,True,True
BNBUSDT,2023-06-12 04:00:00+00:00,226.2,261.7,15.694,32.0,True,True,True
BNBUSDT,2023-06-12 09:00:00+00:00,229.5,261.7,14.031,31.79,True,True,True
ETHUSDT,2023-06-14 18:00:00+00:00,1743.45,2029.11,16.385,29.29,True,True,True
XRPUSDT,2023-06-14 19:00:00+00:00,0.5041,0.938,86.074,28.96,True,True,True
SOLUSDT,2023-06-15 03:00:00+00:00,14.77,32.13,117.536,28.88,True,True,True
BNBUSDT,2023-06-19 19:00:00+00:00,240.4,261.7,8.86,24.38,True,True,False
BNBUSDT,2023-06-20 16:00:00+00:00,240.4,261.7,8.86,23.5,True,True,False
ETHUSDT,2023-06-20 17:00:00+00:00,1745.07,2029.11,16.277,23.33,True,True,True
SOLUSDT,2023-06-20 17:00:00+00:00,16.08,32.13,99.813,23.29,True,True,True
BNBUSDT,2023-06-20 18:00:00+00:00,243.6,261.7,7.43,23.42,True,True,False
SOLUSDT,2023-06-23 13:00:00+00:00,16.4,32.13,95.915,20.46,True,True,True
SOLUSDT,2023-06-23 15:00:00+00:00,16.48,32.13,94.964,20.38,True,True,True
BNBUSDT,2023-06-30 04:00:00+00:00,236.7,261.7,10.562,14.0,True,True,True
ETHUSDT,2023-06-30 05:00:00+00:00,1887.4,2029.11,7.508,13.83,True,True,False
BTCUSDT,2023-06-30 05:00:00+00:00,30877.99,31804.2,3.0,13.58,False,False,False
ETHUSDT,2023-07-05 09:00:00+00:00,1929.48,2029.11,5.164,8.67,True,False,False
SOLUSDT,2023-07-06 01:00:00+00:00,19.3,32.13,66.477,7.96,True,True,True
BNBUSDT,2023-07-10 10:00:00+00:00,240.7,261.7,8.725,3.75,True,True,False
BTCUSDT,2023-07-14 20:00:00+00:00,30115.18,30441.46,1.083,1.75,False,False,False
SOLUSDT,2023-07-15 01:00:00+00:00,27.67,29.12,5.24,0.29,True,False,False
BNBUSDT,2023-07-17 07:00:00+00:00,242.3,248.8,2.683,15.71,False,False,False
SOLUSDT,2023-07-24 11:00:00+00:00,23.77,25.68,8.035,2.29,True,True,False
BTCUSDT,2023-07-24 11:00:00+00:00,29324.0,30244.0,3.137,15.42,False,False,False
ETHUSDT,2023-07-24 11:00:00+00:00,1852.46,1888.0,1.919,2.38,False,False,False
XRPUSDT,2023-07-24 11:00:00+00:00,0.6993,0.7358,5.22,5.96,True,False,False
SOLUSDT,2023-07-24 16:00:00+00:00,23.21,25.68,10.642,2.08,True,True,True
ETHUSDT,2023-07-24 16:00:00+00:00,1843.09,1888.0,2.437,2.17,False,False,False
BTCUSDT,2023-07-24 16:00:00+00:00,29093.78,30244.0,3.953,15.21,False,False,False
XRPUSDT,2023-07-25 14:00:00+00:00,0.7029,0.7358,4.681,4.83,False,False,False
